ID_Jogador,Nome_Jogador,Posição,Gols_Marcados,Assistências,Faltas_Cometidas,Minutos_Jogados,Número_da_Camisa,Altura_cm,Peso_kg
1,Jogador D,Goleiro,21,8,3,2690,36,162.79726422837737,60.70751238453029
2,Jogador B,Meia,27,2,1,1416,84,185.60672895312663,84.1021265537146
3,Jogador C,Defensor,19,9,1,3375,68,170.8458974600074,74.59192876578118
4,Jogador D,Meia,0,18,8,3152,7,183.71247966613691,75.45843364636589
5,Jogador D,Atacante,9,2,4,1996,54,187.20527724413805,82.5776436271553
6,Jogador C,Defensor,7,14,3,1940,1,169.2331675661605,67.67129822367443
7,Jogador B,Goleiro,17,0,9,804,44,178.27434579521474,68.47021402661913
8,Jogador A,Atacante,27,6,0,1235,45,167.61299451276273,79.38406348075459
9,Jogador A,Atacante,0,11,6,2838,47,162.09355503146034,90.17014177375452
10,Jogador B,Goleiro,1,16,2,2463,13,175.13905693943477,84.7799100563035
11,Jogador D,Goleiro,0,19,5,2649,22,174.51777087383968,71.89420192947355
12,Jogador D,Meia,0,4,4,2509,21,199.8192196281703,77.21348710035684
13,Jogador D,Defensor,8,3,4,3838,86,177.85409404790568,66.82659034199993
14,Jogador D,Goleiro,12,11,4,3414,92,173.342781978888,62.98519257348327
15,Jogador B,Goleiro,29,19,0,3515,9,183.21900026866697,91.30784162976596
16,Jogador D,Defensor,0,17,0,3521,26,163.55069576431075,70.61549636752778
17,Jogador C,Goleiro,12,16,2,3389,9,198.4666294381925,67.11065551404992
18,Jogador D,Goleiro,19,18,9,1461,15,185.39840182364134,87.66472222277278
19,Jogador A,Meia,25,8,3,3489,10,190.1935127976339,84.72206697148744
20,Jogador D,Atacante,21,3,4,1526,88,166.8191175269567,85.32758504053857
21,Jogador B,Atacante,6,1,1,2632,42,176.37911412020816,69.15578419386455
22,Jogador A,Atacante,1,3,7,2875,72,176.90756453584757,69.30582154250723
23,Jogador B,Atacante,5,1,1,3363,24,192.87225775604347,68.83210519142557
24,Jogador B,Goleiro,6,14,8,1973,80,160.0494671903764,66.95010382649178
25,Jogador A,Defensor,25,1,1,3001,49,172.0341243341302,86.22894690246625
26,Jogador B,Defensor,13,3,8,2447,26,199.24945497377215,93.92063540997606
27,Jogador B,Meia,25,5,6,3176,91,178.99546174024874,88.97269878706645
28,Jogador D,Meia,17,6,7,3792,37,175.30105120976032,91.68374535042173
29,Jogador C,Goleiro,14,9,1,1677,68,164.79316008070586,76.191937163408
30,Jogador B,Defensor,1,18,6,1164,50,198.96658514512063,86.16303181487993
31,Jogador B,Defensor,9,18,5,511,24,160.801054237033,74.16944961779097
32,Jogador B,Atacante,22,11,3,1656,19,189.48720900028974,81.0201848787456
33,Jogador D,Goleiro,11,2,6,803,60,190.74399219154034,79.2653938613945
34,Jogador C,Goleiro,16,12,3,3864,39,169.74626864255467,67.07548580575417
35,Jogador A,Atacante,7,17,1,3522,74,186.86233774452148,75.48315041342524
36,Jogador D,Goleiro,10,7,9,3871,89,163.7171657751756,98.55289101929404
37,Jogador D,Goleiro,28,14,6,2263,18,170.28189065728318,69.94321030859768
38,Jogador C,Meia,2,0,7,3330,19,191.5160795316906,65.35214945117954
39,Jogador C,Defensor,26,2,1,542,36,194.58744768134162,76.74322486495741
40,Jogador D,Goleiro,5,7,4,1443,74,184.33945650639166,91.61350943440593
41,Jogador A,Meia,8,3,0,2890,97,180.2735372728193,83.28592919119889
42,Jogador D,Defensor,5,15,6,1849,55,166.37216082475922,87.23899308952979
43,Jogador C,Atacante,8,9,7,3045,69,162.524361323166,67.58779392698709
44,Jogador A,Meia,6,11,5,2911,47,164.70596113894234,84.75792772030886
45,Jogador C,Meia,8,13,4,1390,49,169.09429200384395,72.94001579645895
46,Jogador A,Defensor,17,13,5,2974,98,173.66698007587684,93.3721346381907
47,Jogador B,Atacante,11,1,1,1504,33,175.2363810204395,85.17195224042945
48,Jogador C,Meia,7,4,0,520,21,173.85287074356015,67.95425111101184
49,Jogador C,Goleiro,7,4,6,906,81,169.56221328789061,62.584667193763444
50,Jogador D,Goleiro,17,5,6,3166,22,180.3889698700679,61.70532837148131
51,Jogador C,Goleiro,27,12,9,1514,48,193.01144432931588,74.85634270600563
52,Jogador C,Atacante,29,8,9,835,37,171.18814153885916,70.63404546617254
53,Jogador B,Meia,19,14,1,2338,15,197.69548076408933,85.84360493850032
54,Jogador C,Goleiro,29,13,1,3688,35,194.9334664689539,79.97335339914473
55,Jogador B,Atacante,14,6,0,1647,92,166.47056845408437,70.64077112021523
56,Jogador B,Goleiro,26,19,9,2946,71,191.4510382702838,65.96951111800705
57,Jogador B,Defensor,6,1,7,3340,32,182.98349529271067,65.08799050749798
58,Jogador B,Meia,10,6,7,2327,11,182.66301448685675,94.58641568561671
59,Jogador A,Meia,19,5,0,1214,10,175.64171052232697,69.73911873619468
60,Jogador D,Atacante,15,16,7,550,73,180.0461199672804,86.06842591643874
61,Jogador A,Atacante,3,1,8,823,78,175.88715109716844,92.42743711945064
62,Jogador C,Meia,5,2,3,1288,77,181.5893047503977,84.56325244738944
63,Jogador A,Goleiro,25,4,0,640,57,185.11800211090542,94.38260926587783
64,Jogador A,Goleiro,21,4,0,969,25,186.97215225636194,75.69574886113898
65,Jogador C,Defensor,25,0,2,1286,2,181.29924770237704,98.24888762595793
66,Jogador C,Goleiro,2,7,4,2325,64,188.85688269314926,65.32580016712387
67,Jogador C,Atacante,8,11,4,1857,35,165.65112197102025,64.08598118630152
68,Jogador A,Atacante,27,3,8,2416,7,168.47929963608954,86.34768584829774
69,Jogador A,Goleiro,9,12,9,1463,85,192.7494001629708,97.71324565653046
70,Jogador C,Atacante,13,14,1,3555,18,172.9011191138566,92.35533846545312
71,Jogador D,Meia,10,10,1,872,67,160.9157529990448,63.05667437752206
72,Jogador D,Meia,17,9,5,3041,42,166.15164598672123,71.17470855738866
73,Jogador B,Goleiro,21,2,8,2192,39,168.94457737985246,97.21275539351295
74,Jogador C,Meia,11,13,0,3298,41,198.29291551578348,70.12233731203138
75,Jogador B,Meia,22,15,8,1679,75,182.92165715723397,91.24681695147677
76,Jogador D,Defensor,11,9,8,2838,24,197.3092296190502,93.00528783714816
77,Jogador B,Defensor,12,9,8,2171,60,183.006534019865,79.81808413843927
78,Jogador C,Meia,24,11,4,3715,46,179.17417760551407,75.45395639393261
79,Jogador C,Goleiro,12,8,8,605,19,172.54910764776383,78.00497729679039
80,Jogador C,Defensor,18,0,3,1943,68,184.254837777335,69.07858777461456
81,Jogador A,Atacante,25,4,1,3217,90,165.5679209847012,95.57563664515376
82,Jogador B,Atacante,18,19,5,2181,42,195.93046509170824,78.02478626919032
83,Jogador D,Atacante,22,7,3,501,32,193.17329620565135,95.29837761824399
84,Jogador D,Goleiro,13,10,5,3136,39,172.70125791506948,64.22773919625097
85,Jogador D,Meia,3,11,2,3191,36,198.11190110405178,99.53101084000525
86,Jogador A,Atacante,12,0,5,2637,97,193.0080306966227,77.73092349774473
